Rank, Name, Platform, Country, Wins, Games
252,CA Sneux,Windows,AR,1395,3654
253,OX1G3N,Windows,RO,1393,2651
254,MVP Krith,Windows,HU,1391,2527
254,DaisukiDaYoMia,Windows,,1391,9330
254,ZillaZol,Windows,DK,1391,8032
257,AAA NewkuXD,Windows,TH,1389,6974
258,Tempo VapeJesus,Windows,US,1388,4568
259,ttv hking,Windows,GB,1387,5742
260,LoganPaulShop_,Windows,DK,1382,3505
261,kevie1,Windows,,1381,2675
262,lookon11.jp,Windows,JP,1379,3729
262,masenko88,Windows,FI,1379,2790
264,Twitch_MadGameSS,Windows,SE,1378,4922
264,Exuhz,Windows,US,1378,5155
266,ChanceDanZ,Windows,,1377,5767
267,Im_Murksman,Windows,,1376,3236
267,Infamous G0D,Windows,VN,1376,5893
267,G1 DeathRose,Windows,IT,1376,5137
270,Î_iÏ‰i,Windows,CA,1375,3954
270,uNp Mr Mayhem,Windows,IL,1375,4721
272,CosMix - â“›Bâ“_Eâ“¥Tâ“”,Windows,,1372,5080
273,è™_ç‰™101DJG_ç™_ä_ê,Windows,,1371,3630
274,Solary adz,Windows,BE,1370,5800
275,TTv.C4Brandon,Windows,US,1368,7137
275,Tempo Winter,Windows,,1368,3694
277,GS Nazgul,Windows,CA,1366,4822
277,FRK_Fermer,Windows,UA,1366,5066
279,Kray3r.TV,Windows,NZ,1365,8138
279,viktorzx,Windows,HU,1365,3525
279,twitchtvswag_,Windows,DE,1365,6953
282,sorryhanzomain,Windows,RU,1363,3737
282,Fromside,Windows,,1363,5518
284,G4B_Valstirk.TV,Windows,,1362,5520
284,ZG VoVoXperTz,Windows,RO,1362,2446
286,Eragonist,Windows,HU,1361,4483
287,Pump Johnny,Windows,SE,1358,3641
288,kermaga,Windows,TR,1357,3650
289,HCK Marcos,Windows,BR,1356,3795
289,KenJa ã‚·,Windows,DE,1356,3187
291,Rev Penps,Windows,IL,1355,5359
292,BattleBeast666,Windows,,1353,5670
292,Jonjon.TV,Windows,CL,1353,6930
292,Smekht,Windows,SE,1353,2945
295,Ex Worthyy,Windows,AU,1351,3255
296,Frost Schnapples,Windows,GB,1350,6302
297,Twitch Fickzi,Windows,DK,1349,4768
298,WFS. MÃ¶ps,Windows,DE,1348,1839
299,Omega Paillet,Windows,,1347,6376
299,AlterEgo.Slagger,Windows,ID,1347,8782
299,NeutralSlinky,Windows,US,1347,6221
302,TE_Life_XXM,Windows,,1344,4383
303,DESTROY.V1ns,Windows,PL,1341,4008
303,controlli,Windows,FI,1341,2700
305,Twitch-PINKTOE,Windows,,1340,5941
306,SF Panchoki,Windows,TR,1339,5422
306,Cheeken,Windows,,1339,10214
306,Twitch FulmerLoL,Windows,US,1339,3202
309,Nick Eh 30,Windows,,1338,6478
309,x25 Riddance1zTV,Windows,BA,1338,3698
311,Twitch-RASTCLOT,Windows,,1337,4079
311,TTV.DrewFrozone,Windows,,1337,7474
311,QLASH BullT,Windows,,1337,4052
314,SENSE ZarakiTv,Windows,PL,1336,4786
314,Enemy Adecy,Windows,FR,1336,4663
314,Barrage_Marlon,Windows,DE,1336,3657
317,Brainstrm,Windows,,1334,6356
318,SjokoladenTwitch,Windows,NO,1333,3520
319,EVOS.Noritada,Windows,ID,1332,4733
320,TheKingSparrow,Windows,NO,1331,3809
320,LiveLiftGame.Tv,Windows,US,1331,4509
322,Twitch.Gravy757,Windows,US,1330,5823
322,Edit H1ghenough,Windows,US,1330,5937
324,Twitch_DeNiisS,Windows,ES,1328,4549
324,ãÅ—ã‚†ãÅè,Windows,JP,1328,3263
326,Twitch.TrezxnTV,Windows,US,1327,4582
326,GonzÃ_,Windows,,1327,6208
328,Dustyy98,Windows,AU,1326,4479
329,Twitchtv kutingx,Windows,PH,1325,6495
329,Kraftyyz,Windows,,1325,7502
329,Prosto-,Windows,SK,1325,3631
332,Twitch.Tv xDeebz,Windows,,1323,8441
333,Burnt meat,Windows,FI,1322,2676
334,G1 Kanser,Windows,IT,1319,4034
335,TwitchAlphaAmons,Windows,SE,1318,3704
336,BuBuBEAST,Windows,DE,1317,3682
336,Fastolust,Windows,,1317,2928
336,Hammatimez.TTV,Windows,JP,1317,5714
336,VIP . Ngá»çc Tuáº¥n,Windows,,1317,6515
340,_…piff,Windows,US,1316,4560
341,Î´wanÎ´ong,Windows,US,1315,4666
341,_’lind,Windows,US,1315,3968
343,chiiskiies,Windows,AU,1314,4423
343,Annialis,Windows,US,1314,4115
345,mackiiie,Windows,GB,1313,4213
346,Ä_Î±Å¡t-Rell,Windows,ID,1311,7803
347,ATX_Cypher,Windows,FR,1310,4934
348,ãÅ¨ãÅ_ãÅ ãÅ—åù_ã‚„,Windows,JP,1307,3349
348,Peac3d,Windows,NL,1307,3103
350,Twitch ?_êé _,Windows,,1306,4336
350,Îœadd,Windows,,1306,9022
352,Twitch_Fooogie,Windows,SE,1305,4961
353,e2.LeNain,Windows,CA,1304,4578
354,Rat Assassin,Windows,BY,1303,4050
354,Pervy-,Windows,US,1303,5783
354,twitch MicksyTV,Windows,ra,1303,6187
357,CA NothingNoname,Windows,AR,1301,4888
357,Twitch_Netwar_,Windows,DE,1301,3528
357,JJCM,Windows,GB,1301,3207
360,NRG General,Windows,CA,1300,4894
361,DaanÃ_,Windows,,1299,4238
361,Ghost Dmo,Windows,US,1299,5087
363,Naddz-,Windows,ra,1298,2507
364,B40 . BinBon .,Windows,,1297,8044
365,uNp FeRinS,Windows,IL,1296,5212
366,inst34d,Windows,AR,1295,4707
367,Twitch PoOpNasty,Windows,US,1294,7058
368,Dizz .,Windows,,1291,5847
368,Secret_Domentos,Windows,LV,1291,4328
370,Twitch.tv JoshTV,Windows,US,1290,9354
370,vorchah,Windows,GB,1290,6488
372,Arc Star,Windows,,1289,4749
373,NF Loketa,Windows,BR,1287,5384
373,TTV TQ_DeFiAnT,Windows,US,1287,2467
375,SlÑ–me,Windows,US,1286,5833
375,Tractor Electric,Windows,,1286,8512
377,Ninja O Ceifador,Windows,BR,1285,4857
378,fr0styza1,Windows,BR,1282,3086
379,Movin Silent,Windows,PT,1281,5066
380,UC Colossus,Windows,BR,1280,6172
380,CA SpraY,Windows,AR,1280,5206
382,TwitchtvXiadous,Windows,AU,1277,5096
383,KDH_EarlyMorning,Windows,KR,1276,3015
383,Nemesis Maker,Windows,KR,1276,3239
385,VG Heyuhere,Windows,GR,1275,6990
385,oneblade,Windows,AU,1275,3794
385,dokadoxy,Windows,,1275,5937
388,lonly sheildboy,Windows,ra,1274,3326
389,LeXy ãÅ—ãÅèãÅµãÅè,Windows,JP,1273,4438
390,ELZ1 mstkiNg,Windows,BR,1272,5365
391,twitch Sidekool,Windows,,1271,7230
392,Infamous ThÃ¨mLá»“n,Windows,,1270,4628
392,Inventor of salt,Windows,,1270,8020
394,LeleC0,Windows,,1269,4438
395,Tornado Tydz,Windows,GB,1268,4834
395,unreal karasawa,Windows,JP,1268,2973
395,the gancho,Windows,AU,1268,4427
398,SaltE DaddyRiven,Windows,,1265,6699
399,Twitch nCSplaTT,Windows,BR,1264,4881
399,KLIM Foutu,Windows,FR,1264,4989
399,Twitch nCSplaTT,Windows,BR,1264,4881
402,Rugs.,Windows,US,1259,6499
402,Seth Jones YT,Windows,,1259,6245
404,ãÅ_ã‚Œã‚_ãƒ_ãƒ•ã‚¡ãƒ_,Windows,,1258,2858
405,Hotstepper,Windows,,1257,2934
406,MrBrawler,Windows,DK,1256,6510
406,BroKeo,Windows,US,1256,3290
408,TwitchTinny,Windows,GB,1254,4611
409,DouYuTvä¸¶?œˆ?— ç—•,Windows,KR,1252,7956
410,TwitchRazZzero0o,Windows,DE,1250,1698
411,Jack_Battle,Windows,FR,1249,8938
412,Vanity217,Windows,,1247,6306
412,Turtle2389,Windows,,1247,4220
414,Kzz7 SEM TIME ãƒ„,Windows,BR,1246,5777
415,TwitchEZSnacks_,Windows,DE,1245,4749
416,QLASH Brinsen,Windows,IT,1244,5178
417,AqmÃ©,Windows,,1243,5287
418,xhris.,Windows,US,1242,4781
419,Plan E - NgÆ ,Windows,VN,1241,5880
420,å·´?‰_å˜¿,Windows,,1240,3124
420,Viá»‡t Cá»™ng Real,Windows,VN,1240,6503
420,OneEgyptianTV,Windows,US,1240,4776
